iter	Passed	Remaining
677	1556	739
678	1558	736
679	1559	734
680	1561	731
681	1563	728
682	1565	726
683	1566	723
684	1568	721
685	1570	718
686	1571	716
687	1573	713
688	1575	711
689	1577	708
690	1578	706
691	1580	703
692	1582	700
693	1584	698
694	1585	695
695	1587	693
696	1589	690
697	1591	688
698	1592	685
699	1594	683
700	1596	680
701	1597	678
702	1599	675
703	1601	673
704	1603	670
705	1605	668
706	1606	665
707	1608	663
708	1610	660
709	1611	658
710	1613	655
711	1615	653
712	1617	650
713	1618	648
714	1620	646
715	1622	643
716	1624	641
717	1626	638
718	1628	636
719	1629	633
720	1631	631
721	1633	628
722	1635	626
723	1637	624
724	1638	621
725	1640	619
726	1642	616
727	1643	614
728	1645	611
729	1647	609
730	1649	606
731	1651	604
732	1652	602
733	1654	599
734	1656	597
735	1658	594
736	1660	592
737	1662	590
738	1663	587
739	1665	585
740	1667	582
741	1669	580
742	1670	577
743	1672	575
744	1674	573
745	1676	570
746	1677	568
747	1680	566
748	1682	563
749	1683	561
750	1685	558
751	1687	556
752	1688	553
753	1690	551
754	1692	549
755	1693	546
756	1695	544
757	1697	541
758	1699	539
759	1700	537
760	1702	534
761	1704	532
762	1705	529
763	1707	527
764	1709	525
765	1711	522
766	1713	520
767	1715	518
768	1717	515
769	1718	513
770	1720	511
771	1722	508
772	1724	506
773	1726	503
774	1727	501
775	1729	499
776	1731	496
777	1733	494
778	1735	492
779	1736	489
780	1738	487
781	1740	485
782	1742	482
783	1744	480
784	1745	478
785	1747	475
786	1749	473
787	1750	471
788	1752	468
789	1754	466
790	1756	464
791	1758	461
792	1759	459
793	1761	457
794	1763	454
795	1764	452
796	1766	449
797	1768	447
798	1770	445
799	1771	442
800	1773	440
801	1775	438
802	1777	435
803	1778	433
804	1780	431
805	1782	428
806	1783	426
807	1785	424
808	1788	422
809	1789	419
810	1791	417
811	1793	415
812	1795	412
813	1796	410
814	1798	408
815	1800	405
816	1802	403
817	1804	401
818	1805	399
819	1807	396
820	1809	394
821	1810	392
822	1812	389
823	1814	387
824	1815	385
825	1817	382
826	1819	380
827	1821	378
828	1822	375
829	1824	373
830	1826	371
831	1827	369
832	1829	366
833	1831	364
834	1833	362
835	1835	359
836	1836	357
837	1838	355
838	1840	353
839	1842	350
840	1844	348
841	1846	346
842	1847	344
843	1849	341
844	1851	339
845	1853	337
846	1855	335
847	1856	332
848	1864	331
849	1866	329
850	1869	327
851	1874	325
852	1876	323
853	1879	321
854	1884	319
855	1886	317
856	1888	315
857	1890	312
858	1891	310
859	1893	308
860	1895	306
861	1897	303
862	1899	301
863	1900	299
864	1902	296
865	1904	294
866	1906	292
867	1908	290
868	1910	287
869	1912	285
870	1913	283
871	1915	281
872	1917	278
873	1919	276
874	1920	274
875	1922	272
876	1924	269
877	1926	267
878	1927	265
879	1929	263
880	1931	260
881	1932	258
882	1934	256
883	1936	254
884	1938	251
885	1939	249
886	1941	247
887	1943	245
888	1945	242
889	1946	240
890	1948	238
891	1950	236
892	1951	233
893	1953	231
894	1956	229
895	1958	227
896	1960	225
897	1962	222
898	1964	220
899	1965	218
900	1967	216
901	1969	213
902	1971	211
903	1972	209
904	1974	207
905	1976	205
906	1978	202
907	1979	200
908	1981	198
909	1983	196
910	1984	193
911	1986	191
912	1988	189
913	1990	187
914	1991	185
915	1993	182
916	1995	180
917	1997	178
918	1998	176
919	2000	173
920	2002	171
921	2004	169
922	2005	167
923	2007	165
924	2009	162
925	2011	160
926	2012	158
927	2014	156
928	2016	154
929	2017	151
930	2019	149
931	2021	147
932	2023	145
933	2024	143
934	2026	140
935	2028	138
936	2030	136
937	2031	134
938	2033	132
939	2035	129
940	2036	127
941	2038	125
942	2040	123
943	2042	121
944	2043	118
945	2045	116
946	2047	114
947	2049	112
948	2051	110
949	2052	108
950	2054	105
951	2056	103
952	2057	101
953	2059	99
954	2061	97
955	2063	94
956	2065	92
957	2066	90
958	2068	88
959	2070	86
960	2072	84
961	2073	81
962	2075	79
963	2077	77
964	2080	75
965	2083	73
966	2086	71
967	2088	69
968	2091	66
969	2093	64
970	2095	62
971	2096	60
972	2098	58
973	2100	56
974	2102	53
975	2103	51
976	2105	49
977	2107	47
978	2109	45
979	2110	43
980	2112	40
981	2114	38
982	2116	36
983	2117	34
984	2119	32
985	2121	30
986	2122	27
987	2124	25
988	2126	23
989	2128	21
990	2130	19
991	2131	17
992	2133	15
993	2135	12
994	2136	10
995	2138	8
996	2140	6
997	2142	4
998	2143	2
999	2145	0
